pipeID,length,diameter,roughnes
1,132.75999450683594,40.79999923706055,150.0
2,374.67999267578125,16.0,150.0
3,119.73999786376953,16.0,150.0
4,312.7200012207031,16.0,150.0
5,289.0899963378906,26.0,150.0
6,336.3299865722656,16.0,150.0
7,135.80999755859375,16.0,150.0
8,201.25999450683594,16.0,150.0
9,132.52999877929688,16.0,150.0
10,144.66000366210938,16.0,150.0
11,175.72000122070312,20.399999618530273,150.0
12,112.16999816894531,32.599998474121094,150.0
13,210.74000549316406,51.400001525878906,150.0
14,75.41000366210938,204.60000610351562,150.0
15,181.4199981689453,184.0,150.0
16,146.9600067138672,147.1999969482422,150.0
17,162.69000244140625,90.0,150.0
18,99.63999938964844,73.5999984741211,150.0
19,52.97999954223633,40.79999923706055,150.0
20,162.97000122070312,40.79999923706055,150.0
21,83.95999908447266,73.5999984741211,150.0
22,49.81999969482422,102.19999694824219,150.0
23,78.5,90.0,150.0
24,99.2699966430664,73.5999984741211,150.0
25,82.29000091552734,61.400001525878906,150.0
26,147.49000549316406,32.599998474121094,150.0
27,197.32000732421875,40.79999923706055,150.0
28,83.30000305175781,102.19999694824219,150.0
29,113.80000305175781,90.0,150.0
30,80.81999969482422,61.400001525878906,150.0
31,340.9700012207031,26.0,150.0
32,77.38999938964844,16.0,150.0
33,112.37000274658203,16.0,150.0
34,37.34000015258789,40.79999923706055,150.0
35,108.8499984741211,51.400001525878906,150.0
36,182.82000732421875,16.0,150.0
37,136.02000427246094,16.0,150.0
38,56.70000076293945,16.0,150.0
39,124.08000183105469,16.0,150.0
40,234.60000610351562,16.0,150.0
41,203.8300018310547,40.79999923706055,150.0
42,248.0500030517578,16.0,150.0
43,65.19000244140625,32.599998474121094,150.0
44,210.08999633789062,32.599998474121094,150.0
45,147.57000732421875,40.79999923706055,150.0
46,103.80000305175781,16.0,150.0
47,210.9499969482422,32.599998474121094,150.0
48,75.08000183105469,51.400001525878906,150.0
49,180.2899932861328,16.0,150.0
50,149.0500030517578,16.0,150.0
51,215.0500030517578,32.599998474121094,150.0
52,144.44000244140625,16.0,150.0
53,34.7400016784668,51.400001525878906,150.0
54,59.93000030517578,73.5999984741211,150.0
55,165.6699981689453,32.599998474121094,150.0
56,119.97000122070312,20.399999618530273,150.0
57,83.16999816894531,32.599998474121094,150.0
58,1.0,229.1999969482422,150.0
