junctionID,elev,demand,pattern
1,65.1500015258789,,
2,64.4000015258789,,
3,63.349998474121094,,
4,62.5,,
5,61.2400016784668,,
6,65.4000015258789,,
7,67.9000015258789,,
8,66.5,,
9,66.0,,
10,64.16999816894531,,
11,63.70000076293945,,
12,62.63999938964844,,
13,61.900001525878906,,
14,62.599998474121094,,
15,63.5,,
16,64.30000305175781,,
17,65.5,,
18,64.0999984741211,,
19,62.900001525878906,,
20,62.83000183105469,,
21,62.79999923706055,,
22,63.900001525878906,,
23,64.19999694824219,,
24,67.5,,
25,64.4000015258789,,
26,63.400001525878906,,
27,63.900001525878906,,
28,65.6500015258789,,
29,64.5,,
30,64.0999984741211,,
31,64.4000015258789,,
32,64.19999694824219,,
33,64.5999984741211,,
34,64.69999694824219,,
35,65.43000030517578,,
36,65.9000015258789,,
