links_result	link	flow_gpm	velocity_fps	headloss
0:00:00	0                  308.35      0.30      0.02
0:00:00	1                  -50.72      0.32      0.06
0:00:00	2                  -25.68      0.16      0.02
0:00:00	3                  -14.23      0.09      0.00
0:00:00	6                   46.45      0.30      0.05
0:00:00	7                  -76.32      0.49      0.14
0:00:00	8                    0.00      0.00      0.00
0:00:00	9                   79.20      0.51      0.15
0:00:00	10                  49.47      0.32      0.06
0:00:00	11                  81.60      0.52      0.16
0:00:00	12                  32.14      0.21      0.03
0:00:00	13                   0.00      0.00      0.00
0:00:00	14                  -0.49      0.00      0.00
0:00:00	15                2401.76      3.83      2.83
0:00:00	16                  -2.03      0.01      0.00
0:00:00	17                2401.76      6.81     11.50
0:00:00	18                2401.76      1.09      0.13
0:00:00	19                2401.76      1.09      0.13
0:00:00	20                  -0.00      0.00      0.00
0:00:00	21                   2.66      0.02      0.00
0:00:00	22                   2.70      0.02      0.00
0:00:00	23                  24.36      0.16      0.02
0:00:00	24                  19.61      0.13      0.01
0:00:00	25                   2.70      0.02      0.00
0:00:00	26                   2.70      0.02      0.00
0:00:00	27                  -0.00      0.00      0.00
0:00:00	28                -539.01      0.86      0.18
0:00:00	29                -630.26      1.01      0.24
0:00:00	30                 -26.23      0.17      0.02
0:00:00	31               -1117.26      0.79      0.10
0:00:00	32                  -7.80      0.05      0.00
0:00:00	33                   1.58      0.00      0.00
0:00:00	34                  78.90      0.22      0.02
0:00:00	35                2343.98      1.66      0.38
0:00:00	36                  10.63      0.07      0.00
0:00:00	37                 -26.97      0.17      0.02
0:00:00	38                  -1.01      0.01      0.00
0:00:00	39                -549.61      0.88      0.18
0:00:00	40                -652.93      0.67      0.09
0:00:00	41                 637.38      1.02      0.24
0:00:00	42                   0.00      0.00      0.00
0:00:00	43                 -11.51      0.01      0.00
0:00:00	44                -586.80      0.60      0.07
0:00:00	45               -1892.90      1.34      0.25
0:00:00	46               -1866.06      1.32      0.25
0:00:00	47                1213.18      0.86      0.11
0:00:00	48                1172.71      0.83      0.10
0:00:00	49                1144.58      0.81      0.10
0:00:00	50                1156.41      0.82      0.10
0:00:00	51                1086.29      0.77      0.09
0:00:00	52                 295.77      0.84      0.24
0:00:00	53                 126.99      0.36      0.05
0:00:00	54                  92.41      0.26      0.03
0:00:00	55                  -9.04      0.05      0.00
0:00:00	56                   4.33      0.03      0.00
