junctionID,elev,demand,pattern
0,376.07000732421875,,
1,192.0,,
2,363.1400146484375,,
3,428.07000732421875,,
4,477.80999755859375,,
5,494.2300109863281,,
6,505.0,,
7,535.22998046875,,
8,493.4200134277344,,
9,488.2900085449219,,
10,333.6199951171875,,
11,344.1000061035156,,
12,379.5,,
13,325.95001220703125,,
14,416.8500061035156,,
15,423.489990234375,,
16,383.0,,
17,385.05999755859375,,
18,478.1499938964844,,
19,558.9299926757812,,
20,617.72998046875,,
21,652.4199829101562,,
22,625.9600219726562,,
23,604.3400268554688,,
24,636.6099853515625,,
25,653.9299926757812,,
26,683.4299926757812,,
27,690.6500244140625,,
28,701.6900024414062,,
29,846.280029296875,,
30,636.0,,
31,600.4299926757812,,
32,625.8499755859375,,
33,622.780029296875,,
34,200.0,,
35,651.969970703125,,
36,634.1099853515625,,
37,677.0499877929688,,
38,646.510009765625,,
39,703.1900024414062,,
40,741.6300048828125,,
41,700.219970703125,,
42,728.0499877929688,,
43,653.0900268554688,,
44,678.5,,
45,747.3200073242188,,
46,820.239990234375,,
47,640.469970703125,,
48,637.4500122070312,,
49,623.9000244140625,,
50,611.0800170898438,,
51,623.6799926757812,,
52,613.27001953125,,
53,607.6300048828125,,
54,602.1099853515625,,
55,603.3400268554688,,
56,606.9400024414062,,
57,617.969970703125,,
58,610.2100219726562,,
59,620.9500122070312,,
60,623.989990234375,,
61,625.3800048828125,,
62,625.4000244140625,,
63,623.9500122070312,,
64,623.1300048828125,,
65,619.3699951171875,,
66,619.719970703125,,
67,624.5,,
68,617.0800170898438,,
69,626.0,,
70,619.1099853515625,,
71,632.1799926757812,,
72,622.3499755859375,,
73,620.3699951171875,,
74,622.3400268554688,,
75,629.1599731445312,,
76,622.5499877929688,,
77,624.6400146484375,,
78,618.02001953125,,
79,617.8900146484375,,
80,616.8900146484375,,
81,623.5800170898438,,
82,618.760009765625,,
83,617.7100219726562,,
84,619.9299926757812,,
85,620.25,,
86,623.47998046875,,
87,622.260009765625,,
88,621.6900024414062,,
89,626.8099975585938,,
90,644.0900268554688,,
91,637.4400024414062,,
92,628.239990234375,,
93,643.739990234375,,
94,633.47998046875,,
95,630.8599853515625,,
96,629.1400146484375,,
97,628.989990234375,,
98,643.0499877929688,,
99,641.8900146484375,,
100,637.9000244140625,,
101,645.0900268554688,,
102,1094.0699462890625,,
103,1031.72998046875,,
104,860.6400146484375,,
105,0.0,,
106,0.0,,
109,0.0,,
110,0.0,,
111,418.0,,
112,418.0,,
113,359.0,,
114,359.0,,
115,533.0,,
116,533.0,,
117,404.0,,
118,404.0,,
119,849.0,,
120,849.0,,
121,957.0,,
122,957.0,,
123,758.0,,
124,758.0,,
125,434.0,,
126,434.0,,
128,0.0,,
